incident_id,category,sub_category,priority,created_at,resolved_at,assigned_group,description,user_department,resolution_time_hours,hora,dia_semana,es_fin_de_semana,priority_ord,cluster_kmeans,cluster_dbscan
INC-000001,Aplicaciones,Login,P3,2025-10-11 01:49:34,2025-10-12 15:27:17,Sistemas N2,Aplicaciones: Login. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos,37.62861111111111,1,5,1,3,4,0
INC-000002,Aplicaciones,Login,P2,2025-08-22 00:15:34,2025-08-22 12:06:09,Seguridad N2,Aplicaciones: Login. Prioridad P2. Usuario de Ventas reporta problema. Atendido por Seguridad N2.,Ventas,11.843055555555555,0,4,0,2,4,0
INC-000003,Correo,Sin acceso,P3,2025-10-10 06:39:34,2025-10-11 07:28:13,Aplicaciones N2,Correo: Sin acceso. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes,24.810833333333335,6,4,0,3,3,1
INC-000004,Base de datos,Conexión,P3,2025-11-10 03:11:34,2025-11-12 04:11:10,Redes N2,Base de datos: Conexión. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Redes N2.,Atención a Clientes,48.99333333333333,3,0,0,3,6,2
INC-000005,Correo,Retraso,P2,2025-11-20 00:24:34,2025-11-20 12:34:37,Soporte en Sitio N1,Correo: Retraso. Prioridad P2. Usuario de Finanzas reporta problema. Atendido por Soporte en Sitio N1.,Finanzas,12.1675,0,3,0,2,3,3
INC-000006,Seguridad,Políticas,P3,2025-12-30 01:01:34,2025-12-31 06:24:53,Service Desk N1,Seguridad: Políticas. Prioridad P3. Usuario de Logística reporta problema. Atendido por Service Desk N1.,Logística,29.38861111111111,1,1,0,3,5,4
INC-000007,Impresoras,Atasco,P3,2026-01-09 02:47:34,2026-01-10 08:50:24,Sistemas N2,Impresoras: Atasco. Prioridad P3. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI,30.04722222222222,2,4,0,3,8,5
INC-000008,Aplicaciones,Login,P3,2025-09-04 12:16:34,2025-09-05 05:52:32,Aplicaciones N2,Aplicaciones: Login. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing,17.599444444444444,12,3,0,3,4,0
INC-000009,Aplicaciones,Actualización,P2,2026-01-24 12:25:34,2026-01-25 03:33:46,Sistemas N2,Aplicaciones: Actualización. Prioridad P2. Usuario de Logística reporta problema. Atendido por Sistemas N2.,Logística,15.136666666666667,12,5,1,2,4,6
INC-000010,Hardware,Disco,P2,2026-02-02 03:46:34,2026-02-02 19:23:41,Base de Datos N2,Hardware: Disco. Prioridad P2. Usuario de Recursos Humanos reporta problema. Atendido por Base de Datos N2.,Recursos Humanos,15.618611111111111,3,0,0,2,2,7
INC-000011,Aplicaciones,Errores 500,P3,2025-12-11 05:19:34,2025-12-12 23:35:54,Aplicaciones N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Aplicaciones N2.,Operaciones,42.272222222222226,5,3,0,3,4,8
INC-000012,Virtualización,Migración,P3,2025-10-12 12:04:34,2025-10-14 23:43:25,Base de Datos N2,Virtualización: Migración. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Base de Datos N2.,Ventas,59.6475,12,6,1,3,0,9
INC-000013,Seguridad,Accesos,P3,2025-10-08 08:58:34,2025-10-09 17:19:14,Sistemas N2,Seguridad: Accesos. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Sistemas N2.,Finanzas,32.34444444444444,8,2,0,3,5,10
INC-000014,Seguridad,Phishing,P3,2026-01-26 06:11:34,2026-01-28 00:20:00,Infraestructura N3,Seguridad: Phishing. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Infraestructura N3.,Atención a Clientes,42.14055555555556,6,0,0,3,5,11
INC-000015,Base de datos,Bloqueos,P4,2026-01-11 05:59:34,2026-01-15 14:30:49,Aplicaciones N2,Base de datos: Bloqueos. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing,104.52083333333333,5,6,1,4,6,12
INC-000016,Impresoras,Conectividad,P4,2025-12-23 06:07:34,2025-12-26 01:46:21,Aplicaciones N2,Impresoras: Conectividad. Prioridad P4. Usuario de Operaciones reporta problema. Atendido por Aplicaciones N2.,Operaciones,67.6463888888889,6,1,0,4,8,13
INC-000017,Red,Caída de red,P4,2026-02-05 05:40:34,2026-02-07 11:33:20,Redes N2,Red: Caída de red. Prioridad P4. Usuario de Operaciones reporta problema. Atendido por Redes N2.,Operaciones,53.879444444444445,5,3,0,4,7,14
INC-000018,Aplicaciones,Actualización,P3,2025-12-28 03:37:34,2025-12-29 17:13:22,Seguridad N2,Aplicaciones: Actualización. Prioridad P3. Usuario de Logística reporta problema. Atendido por Seguridad N2.,Logística,37.596666666666664,3,6,1,3,4,6
INC-000019,Red,Caída de red,P4,2025-09-12 03:29:34,2025-09-13 21:24:58,Sistemas N2,Red: Caída de red. Prioridad P4. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI,41.92333333333333,3,4,0,4,7,14
INC-000020,Hardware,Memoria,P3,2025-12-21 11:13:34,2025-12-23 07:42:26,Service Desk N1,Hardware: Memoria. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Service Desk N1.,Marketing,44.48111111111111,11,6,1,3,9,15
INC-000021,Virtualización,VM caída,P4,2025-09-23 04:50:34,2025-09-27 03:26:53,Sistemas N2,Virtualización: VM caída. Prioridad P4. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos,94.60527777777777,4,1,0,4,0,21
INC-000022,Hardware,Laptop,P3,2025-08-19 01:01:34,2025-08-21 21:22:44,Base de Datos N2,Hardware: Laptop. Prioridad P3. Usuario de Logística reporta problema. Atendido por Base de Datos N2.,Logística,68.35277777777777,1,1,0,3,2,16
INC-000023,Seguridad,Políticas,P1,2025-10-15 08:07:34,2025-10-15 18:36:29,Aplicaciones N2,Seguridad: Políticas. Prioridad P1. Usuario de Ventas reporta problema. Atendido por Aplicaciones N2.,Ventas,10.481944444444444,8,2,0,1,5,4
INC-000024,Aplicaciones,Actualización,P2,2025-09-16 09:32:34,2025-09-16 17:13:15,Soporte en Sitio N1,Aplicaciones: Actualización. Prioridad P2. Usuario de Operaciones reporta problema. Atendido por Soporte en Sitio N1.,Operaciones,7.678055555555556,9,1,0,2,4,6
INC-000025,Virtualización,Migración,P4,2025-10-08 07:50:34,2025-10-12 05:21:08,Sistemas N2,Virtualización: Migración. Prioridad P4. Usuario de Atención a Clientes reporta problema. Atendido por Sistemas N2.,Atención a Clientes,93.50944444444444,7,2,0,4,0,9
INC-000026,Correo,Retraso,P3,2025-12-05 07:30:34,2025-12-06 20:18:17,Seguridad N2,Correo: Retraso. Prioridad P3. Usuario de TI reporta problema. Atendido por Seguridad N2.,TI,36.79527777777778,7,4,0,3,3,3
INC-000027,Aplicaciones,Errores 500,P3,2025-11-08 23:39:34,2025-11-10 14:16:19,Aplicaciones N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Aplicaciones N2.,Finanzas,38.6125,23,5,1,3,4,8
INC-000028,Virtualización,Migración,P3,2025-09-02 10:42:34,2025-09-04 11:06:20,Aplicaciones N2,Virtualización: Migración. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Aplicaciones N2.,Ventas,48.39611111111111,10,1,0,3,0,9
INC-000029,Red,Lentitud,P3,2025-11-07 00:34:34,2025-11-08 07:02:12,Soporte en Sitio N1,Red: Lentitud. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Soporte en Sitio N1.,Ventas,30.460555555555555,0,4,0,3,7,17
INC-000030,Correo,Retraso,P3,2025-12-31 01:48:34,2026-01-01 03:32:58,Infraestructura N3,Correo: Retraso. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Infraestructura N3.,Recursos Humanos,25.74,1,2,0,3,3,3
INC-000031,Almacenamiento,Rendimiento,P4,2025-10-02 00:08:34,2025-10-05 13:58:49,Infraestructura N3,Almacenamiento: Rendimiento. Prioridad P4. Usuario de Atención a Clientes reporta problema. Atendido por Infraestructura N3.,Atención a Clientes,85.8375,0,3,0,4,1,18
INC-000032,Impresoras,Conectividad,P3,2025-12-12 12:48:34,2025-12-14 11:08:40,Seguridad N2,Impresoras: Conectividad. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Seguridad N2.,Atención a Clientes,46.335,12,4,0,3,8,13
